variant,accession,date,weight
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20320028,2025-11-13,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319660,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319636,2025-12-15,1.0
other,EPI_ISL_20319606,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319599,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319591,2025-12-15,1.0
other,EPI_ISL_20319574,2025-12-15,1.0
A/Missouri/11/2025_H1N1,EPI_ISL_20319567,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319564,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319559,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319532,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319529,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319440,2025-12-31,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20319278,2025-12-22,1.0
A/Missouri/11/2025_H1N1,EPI_ISL_20317349,2025-06-02,1.0
A/Missouri/11/2025_H1N1,EPI_ISL_20317348,2025-06-19,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317171,2025-10-23,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317160,2025-12-10,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317157,2025-12-18,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317131,2025-12-07,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317127,2025-11-14,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317077,2025-12-16,0.3333333333333333
A/Bangkok/1803/2025_H1N1,EPI_ISL_20317077,2025-12-16,0.3333333333333333
A/Sydney/400/2025_H1N1,EPI_ISL_20317077,2025-12-16,0.3333333333333333
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317068,2025-10-28,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317067,2025-10-23,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317066,2025-10-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317065,2025-10-23,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317057,2025-12-17,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317056,2025-12-15,1.0
other,EPI_ISL_20317049,2025-12-15,1.0
A/Norway/9556/2025_H1N1,EPI_ISL_20317048,2025-12-09,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317030,2025-12-16,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317018,2025-12-12,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317011,2025-12-17,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317010,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20317004,2025-12-06,1.0
A/England/1822256/2025_H1N1,EPI_ISL_20316857,2025-07-04,1.0
other,EPI_ISL_20316855,2025-05-28,1.0
other,EPI_ISL_20316852,2025-09-29,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316825,2025-12-16,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316824,2025-12-17,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316820,2025-12-18,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316815,2025-12-17,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316812,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316810,2025-12-15,1.0
A/Andalucia/PMC-00977/2025_H1N1,EPI_ISL_20316807,2025-12-15,1.0
