variant,accession,date,weight
A/Norway/8765/2025_H3N2,EPI_ISL_20320034,2025-11-26,1.0
other,EPI_ISL_20320033,2025-12-01,1.0
A/England/174/2025_H3N2,EPI_ISL_20320031,2025-11-23,1.0
other,EPI_ISL_20320030,2025-11-19,1.0
A/NewSouthWales/2526015582/2025_H3N2,EPI_ISL_20320029,2025-11-22,1.0
other,EPI_ISL_20320018,2025-11-23,1.0
A/SouthAustralia/2523812314/2025_H3N2,EPI_ISL_20320017,2025-11-13,1.0
other,EPI_ISL_20320016,2025-11-13,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319665,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319664,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319663,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319662,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319661,2025-12-15,1.0
other,EPI_ISL_20319659,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319658,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319657,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319656,2025-12-15,1.0
other,EPI_ISL_20319655,2025-12-15,1.0
other,EPI_ISL_20319654,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319653,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319652,2025-12-15,1.0
other,EPI_ISL_20319651,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319650,2025-12-15,1.0
other,EPI_ISL_20319649,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319648,2025-12-15,1.0
other,EPI_ISL_20319647,2025-12-15,1.0
other,EPI_ISL_20319646,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319645,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319644,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319643,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319642,2025-12-15,1.0
other,EPI_ISL_20319641,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319640,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319639,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319638,2025-12-15,1.0
other,EPI_ISL_20319637,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319635,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319634,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319633,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319632,2025-12-15,1.0
other,EPI_ISL_20319631,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319630,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319629,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319628,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319627,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319626,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319625,2025-12-15,1.0
other,EPI_ISL_20319624,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319623,2025-12-15,1.0
other,EPI_ISL_20319622,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319621,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319620,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319619,2025-12-15,1.0
other,EPI_ISL_20319618,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319617,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319616,2025-12-15,1.0
other,EPI_ISL_20319615,2025-12-15,1.0
other,EPI_ISL_20319614,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319613,2025-12-15,1.0
other,EPI_ISL_20319612,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319611,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319610,2025-12-15,1.0
other,EPI_ISL_20319609,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319608,2025-12-15,1.0
other,EPI_ISL_20319607,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319605,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319604,2025-12-15,1.0
other,EPI_ISL_20319603,2025-12-15,1.0
other,EPI_ISL_20319602,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319601,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319600,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319598,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319597,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319596,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319595,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319594,2025-12-15,1.0
other,EPI_ISL_20319593,2025-12-15,1.0
other,EPI_ISL_20319592,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319590,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319589,2025-12-15,1.0
other,EPI_ISL_20319588,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319587,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319586,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319585,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319584,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319583,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319582,2025-12-15,1.0
other,EPI_ISL_20319581,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319580,2025-12-15,1.0
other,EPI_ISL_20319579,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319578,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319577,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319576,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319575,2025-12-15,1.0
A/Bangkok/P2323/2025_H3N2,EPI_ISL_20319573,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319572,2025-12-15,1.0
other,EPI_ISL_20319571,2025-12-15,1.0
other,EPI_ISL_20319570,2025-12-15,1.0
other,EPI_ISL_20319569,2025-12-15,1.0
other,EPI_ISL_20319568,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319566,2025-12-15,1.0
other,EPI_ISL_20319565,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319563,2025-12-15,1.0
other,EPI_ISL_20319562,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319561,2025-12-15,1.0
other,EPI_ISL_20319560,2025-12-15,1.0
other,EPI_ISL_20319558,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319557,2025-12-15,1.0
A/Bangkok/P2390/2025_H3N2,EPI_ISL_20319556,2025-12-15,1.0
other,EPI_ISL_20319555,2025-12-15,1.0
other,EPI_ISL_20319554,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319553,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319552,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319551,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319550,2025-12-15,1.0
other,EPI_ISL_20319549,2025-12-15,1.0
other,EPI_ISL_20319548,2025-12-15,1.0
other,EPI_ISL_20319547,2025-12-15,1.0
other,EPI_ISL_20319546,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319545,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319544,2025-12-15,1.0
other,EPI_ISL_20319543,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319542,2025-12-15,1.0
other,EPI_ISL_20319541,2025-12-15,1.0
other,EPI_ISL_20319540,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319539,2025-12-15,1.0
other,EPI_ISL_20319538,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319537,2025-12-15,1.0
other,EPI_ISL_20319536,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319535,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319534,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319533,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319531,2025-12-15,1.0
other,EPI_ISL_20319530,2025-12-15,1.0
other,EPI_ISL_20319528,2025-12-15,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319448,2025-12-14,1.0
other,EPI_ISL_20319447,2025-12-15,1.0
other,EPI_ISL_20319446,2025-12-18,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319445,2025-12-17,1.0
other,EPI_ISL_20319444,2025-12-30,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319443,2025-12-05,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319442,2025-12-04,1.0
A/Norway/8765/2025_H3N2,EPI_ISL_20319441,2025-11-30,1.0
other,EPI_ISL_20319439,2025-12-24,1.0
other,EPI_ISL_20319438,2025-12-22,1.0
